Ingredient,Total Quantity (grams)
?duja Salami,2380.0
Alfredo Sauce,1160.0
Anchovies,2790.0
Artichokes,9350.0
Arugula,760.0
Asiago Cheese,5830.0
Bacon,25980.0
Barbecue Sauce,2365.0
Barbecued Chicken,6880.0
Beef Chuck Roast,11430.0
Blue Cheese,1650.0
Brie Carre Cheese,1680.0
Calabrese Salami,14200.0
Capocollo,57850.0
Caramelized Onions,1120.0
Chicken,77600.0
Chipotle Sauce,7180.0
Chorizo Sausage,4850.0
Cilantro,3590.0
Coarse Sicilian Salami,12560.0
Corn,23970.0
Eggplant,2280.0
Feta Cheese,10430.0
Fontina Cheese,5160.0
Friggitello Peppers,595.0
Garlic,23035.0
Genoa Salami,8010.0
Goat Cheese,12120.0
Gorgonzola Piccante Cheese,6880.0
Gouda Cheese,3980.0
Green Olives,4520.0
Green Peppers,6480.0
Italian Sausage,970.0
Jalapeno Peppers,5580.0
Kalamata Olives,3285.0
Luganega Sausage,6280.0
Mozzarella Cheese,11650.0
Mushrooms,23000.0
Onions,3140.0
Oregano,1400.0
Pancetta,3570.0
Parmigiano Reggiano Cheese,16140.0
Pears,560.0
Peperoncini verdi,1630.0
Pepperoni,23130.0
Pesto Sauce,3450.0
Pineapple,9465.0
Plum Tomatoes,3740.0
Prosciutto,1680.0
Prosciutto di San Daniele,1780.0
Provolone Cheese,1650.0
Red Onions,66020.0
Red Peppers,13740.0
Ricotta Cheese,8600.0
Romano Cheese,1650.0
Sliced Ham,2120.0
Smoked Gouda Cheese,1650.0
Soppressata Salami,5900.0
Spinach,23160.0
Sun-dried Tomatoes,1415.0
Thai Sweet Chilli Sauce,4180.0
Thyme,280.0
Tomatoes,45360.0
Zucchini,3300.0
